Date,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,AQS_PARAMETER_DESC,CBSA_NAME,STATE,COUNTY
1/1/20,5.4,ug/m3 LC,23,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/2/20,5.9,ug/m3 LC,25,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/3/20,5.5,ug/m3 LC,23,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/4/20,5.3,ug/m3 LC,22,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/5/20,5.4,ug/m3 LC,23,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/6/20,7.2,ug/m3 LC,30,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/7/20,4.3,ug/m3 LC,18,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/8/20,13.5,ug/m3 LC,54,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/9/20,14.6,ug/m3 LC,56,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/10/20,10.5,ug/m3 LC,44,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/11/20,5.2,ug/m3 LC,22,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/12/20,6.6,ug/m3 LC,28,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/13/20,8.7,ug/m3 LC,36,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/14/20,4.9,ug/m3 LC,20,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/15/20,6,ug/m3 LC,25,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/16/20,6.3,ug/m3 LC,26,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/17/20,4.6,ug/m3 LC,19,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/18/20,7.3,ug/m3 LC,30,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/19/20,3,ug/m3 LC,13,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/20/20,9.3,ug/m3 LC,39,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/24/20,5.5,ug/m3 LC,23,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/25/20,5.5,ug/m3 LC,23,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/26/20,13.4,ug/m3 LC,54,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/27/20,7.5,ug/m3 LC,31,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/28/20,17.6,ug/m3 LC,63,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/29/20,7.7,ug/m3 LC,32,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/30/20,13.4,ug/m3 LC,54,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
1/31/20,11.6,ug/m3 LC,48,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/1/20,11.1,ug/m3 LC,46,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/2/20,6.6,ug/m3 LC,28,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/3/20,7,ug/m3 LC,29,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/4/20,4.9,ug/m3 LC,20,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/5/20,8.1,ug/m3 LC,34,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/6/20,2.7,ug/m3 LC,11,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/7/20,4.4,ug/m3 LC,18,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/8/20,6.7,ug/m3 LC,28,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/9/20,9.2,ug/m3 LC,38,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/10/20,5.6,ug/m3 LC,23,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/11/20,4.1,ug/m3 LC,17,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/12/20,8,ug/m3 LC,33,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/13/20,3.1,ug/m3 LC,13,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/14/20,7,ug/m3 LC,29,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/15/20,8.1,ug/m3 LC,34,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/16/20,14.7,ug/m3 LC,56,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/17/20,9,ug/m3 LC,38,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/18/20,4.7,ug/m3 LC,20,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/19/20,8.4,ug/m3 LC,35,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/20/20,6.1,ug/m3 LC,25,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/21/20,9.9,ug/m3 LC,41,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/22/20,10.7,ug/m3 LC,45,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/23/20,17.7,ug/m3 LC,63,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/24/20,12.2,ug/m3 LC,51,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/25/20,5.3,ug/m3 LC,22,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/26/20,5.5,ug/m3 LC,23,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/27/20,4.8,ug/m3 LC,20,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/28/20,6.7,ug/m3 LC,28,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
2/29/20,6.7,ug/m3 LC,28,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/1/20,16.6,ug/m3 LC,60,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/2/20,7.8,ug/m3 LC,33,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/3/20,11.1,ug/m3 LC,46,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/4/20,9.7,ug/m3 LC,40,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/5/20,4.3,ug/m3 LC,18,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/6/20,4.3,ug/m3 LC,18,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/7/20,7.6,ug/m3 LC,32,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/8/20,10.9,ug/m3 LC,45,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/9/20,11.3,ug/m3 LC,47,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/10/20,6.4,ug/m3 LC,27,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/11/20,8.2,ug/m3 LC,34,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/12/20,8.9,ug/m3 LC,37,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/13/20,8.8,ug/m3 LC,37,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/14/20,10.3,ug/m3 LC,43,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/15/20,5.1,ug/m3 LC,21,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/16/20,10.5,ug/m3 LC,44,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/17/20,23.5,ug/m3 LC,75,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/18/20,16.7,ug/m3 LC,61,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/20/20,8.4,ug/m3 LC,35,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/21/20,6.8,ug/m3 LC,28,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/22/20,7.3,ug/m3 LC,30,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/23/20,7.2,ug/m3 LC,30,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/24/20,10.4,ug/m3 LC,43,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/25/20,7.6,ug/m3 LC,32,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/26/20,11.5,ug/m3 LC,48,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/27/20,17.4,ug/m3 LC,62,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/28/20,14.5,ug/m3 LC,56,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/29/20,7.9,ug/m3 LC,33,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/30/20,9.3,ug/m3 LC,39,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
3/31/20,6.9,ug/m3 LC,29,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/1/20,6,ug/m3 LC,25,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/2/20,7.5,ug/m3 LC,31,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/3/20,14.7,ug/m3 LC,56,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/4/20,12.8,ug/m3 LC,52,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/5/20,14.7,ug/m3 LC,56,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/6/20,20.5,ug/m3 LC,69,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/7/20,16.5,ug/m3 LC,60,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/8/20,13.2,ug/m3 LC,53,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/9/20,7.2,ug/m3 LC,30,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/10/20,6.8,ug/m3 LC,28,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/11/20,13.2,ug/m3 LC,53,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/12/20,15.9,ug/m3 LC,59,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/13/20,4.8,ug/m3 LC,20,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/14/20,5.9,ug/m3 LC,25,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/15/20,7.9,ug/m3 LC,33,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/16/20,15.9,ug/m3 LC,59,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/17/20,12.8,ug/m3 LC,52,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/18/20,8.1,ug/m3 LC,34,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/19/20,7.3,ug/m3 LC,30,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/20/20,5.4,ug/m3 LC,23,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/21/20,9.3,ug/m3 LC,39,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/22/20,10.5,ug/m3 LC,44,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/23/20,7.8,ug/m3 LC,33,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/24/20,5.7,ug/m3 LC,24,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson
4/25/20,5.8,ug/m3 LC,24,PM2.5 - Local Conditions,"Birmingham-Hoover, AL",Alabama,Jefferson