State,PM2.5 Before,PM2.5 After,Quarantine
Alabama,6.971141,9.162343,N
Alaska,7.130573,4.532278,N
Arizona,8.938945,4.43277,Y
Arkansas,6.013043,7.589143,N
California,9.296733,5.057632,Y
Colorado,6.441677,5.52809,N
Connecticut,8.099156,5.863573,Y
Delaware,7.737466,7.199278,Y
District Of Columbia,6.602749,5.808633,Y
Florida,7.953676,9.381256,N
Georgia,7.022597,9.673578,N
Hawaii,3.355878,2.994798,Y
Idaho,6.593095,4.9027,N
Illinois,9.031291,8.362534,Y
Indiana,9.051696,8.829933,N
Iowa,8.547577,8.030926,N
Kansas,6.293007,8.3,N
Kentucky,7.988668,8.040492,Y
Louisiana,5.939219,7.899433,Y
Maine,6.470705,4.368269,Y
Maryland,5.714351,5.054636,Y
Massachusetts,7.995795,6.158101,Y
Michigan,7.400673,7.752295,Y
Minnesota,6.883523,5.701401,Y
Mississippi,7.809581,9.770246,N
Missouri,6.964362,6.840393,N
Montana,5.289546,4.613191,N
Nebraska,6.006996,6.144025,N
Nevada,7.182641,4.086458,Y
New Hampshire,5.489189,4.133333,Y
New Jersey,8.055506,6.540069,Y
New Mexico,5.22275,3.827656,Y
New York,7.803641,4.916404,Y
North Carolina,5.67362,6.201121,Y
North Dakota,4.367947,4.490476,N
Ohio,8.018303,7.0366,Y
Oklahoma,6.478324,8.046713,N
Oregon,6.577648,5.185046,Y
Pennsylvania,8.707215,7.135249,Y
Rhode Island,5.001523,3.588701,Y
South Carolina,5.907841,7.566412,Y
South Dakota,5.000189,4.651033,N
Tennessee,5.423648,6.045739,N
Texas,6.530584,9.378399,N
Utah,6.557882,3.363897,N
Vermont,7.78375,5.102315,Y
Virginia,5.600893,5.675676,Y
Washington,4.905861,4.695147,Y
West Virginia,6.491667,6.654545,N
Wisconsin,8.192256,7.740155,Y
Wyoming,1.621649,2.037918,Y